job_id,title_clean,company_clean,location_clean,role_category,remote_type,source,category,job_type,publication_date,salary,url,collected_at
remotive_2090878,Director of Revenue Systems and AI Automation (Offshore),Caul Group,LATAM,Other,Remote,Remotive,Artificial Intelligence,contract,2026-05-11 07:18:36,$60k–$72k,https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878,2026-05-12T12:33:53.216131
remotive_1956455,iOS Developer,nooro,USA,Other,Remote,Remotive,Software Development,full_time,2026-05-09 21:15:44,$60k-$130k (depending on experience),https://remotive.com/remote-jobs/software-development/ios-developer-1956455,2026-05-12T12:33:53.216131
remotive_2086540,Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,Other,Remote,Remotive,Sales,full_time,2026-05-08 22:00:54,OTE $25k - $35k,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,2026-05-12T12:33:53.216131
remotive_1185979,Freelance Writer,IAPWE,Worldwide,Other,Not Specified,Remotive,Writing,freelance,2026-05-04 17:00:54,$50-$75 /hour,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,2026-05-12T12:33:53.216131
remotive_2090874,🇩🇪Customer Support Manager,Parkosecure GmbH,Switzerland,Other,Remote,Remotive,Customer Service,full_time,2026-05-04 09:07:22,,https://remotive.com/remote-jobs/customer-service/customer-support-manager-2090874,2026-05-12T12:33:53.216131
remotive_1749306,Copywriter,Coalition Technologies,Worldwide,Other,Not Specified,Remotive,Writing,freelance,2026-05-02 20:01:03,$20k -$35k,https://remotive.com/remote-jobs/writing/copywriter-1749306,2026-05-12T12:33:53.216131
remotive_2090002,Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Oceania",Other,Remote,Remotive,Devops,full_time,2026-04-30 14:11:53,,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002,2026-05-12T12:33:53.216131
remotive_2090000,Operations software assistant,Bulldog Digital Media,"Europe, European timezones",Other,Remote,Remotive,Operations,freelance,2026-04-28 09:07:32,"$12k - $19k (35 hrs/week, freelance)",https://remotive.com/remote-jobs/operations/operations-software-assistant-2090000,2026-05-12T12:33:53.216131
remotive_2089995,Head of Engineering,Lemon.io,"USA timezones, European timezones",Other,Remote,Remotive,Software Development,full_time,2026-04-24 14:40:54,,https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995,2026-05-12T12:33:53.216131
remotive_2089994,Mid/Senior AI Video Artist,EverAI,Worldwide,Other,Remote,Remotive,Marketing,full_time,2026-04-24 08:15:19,-,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994,2026-05-12T12:33:53.216131
remotive_2089990,Content Reviewer - US,TELUS Digital,USA,Other,Not Specified,Remotive,All others,part_time,2026-04-21 12:46:23,$14/hour,https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990,2026-05-12T12:33:53.216131
remotive_2089958,AI Engineer,Dry Ground AI,"Brazil, Colombia, Philippines",Other,Remote,Remotive,Artificial Intelligence,full_time,2026-04-21 08:16:20,$40- $60k,https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958,2026-05-12T12:33:53.216131
remotive_2088656,Customer Retention Manager,AutoHDR,USA,Other,Not Specified,Remotive,Customer Service,full_time,2026-04-16 21:16:09,,https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656,2026-05-12T12:33:53.216131
remotive_2088655,Customer Support Representative,AutoHDR,USA,Other,Not Specified,Remotive,Customer Service,full_time,2026-04-16 21:00:55,,https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655,2026-05-12T12:33:53.216131
remotive_1919266,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",Other,Not Specified,Remotive,Software Development,contract,2026-04-16 10:16:01,$120 - $170 /hour,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-05-12T12:33:53.216131
remotive_1919265,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",Other,Remote,Remotive,Software Development,contract,2026-04-16 10:15:53,$90 - $150 /hour,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-05-12T12:33:53.216131
remotive_2088711,Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",Other,Remote,Remotive,Software Development,contract,2026-04-15 14:19:37,,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711,2026-05-12T12:33:53.216131
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",Other,Remote,Remotive,Software Development,full_time,2026-04-14 21:01:45,$170k - $200k,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-05-12T12:33:53.216131
remotive_2088710,Online Data Analyst United States,TELUS Digital,USA,Data Analyst,Not Specified,Remotive,All others,part_time,2026-04-14 12:48:56,,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-2088710,2026-05-12T12:33:53.216131
adzuna_5701578477,Analyste de données – M&V/ Data Analyst - M&V,Trane Technologies,"Westmount, Montréal",Data Analyst,Not Specified,Adzuna,Engineering Jobs,Not Specified,,None - None,https://www.adzuna.ca/land/ad/5701578477?se=3FEpNSNO8RGccd7R-FQHQw&utm_medium=api&utm_source=08a528aa&v=1C0079C7D5B4D4367B795D404DA811F418FFE7B3,2026-05-12T12:55:18.600088
adzuna_5699603109,Senior Data Analyst,National Bank,Canada,Data Analyst,Not Specified,Adzuna,Accounting & Finance Jobs,Not Specified,,None - None,https://www.adzuna.ca/land/ad/5699603109?se=3FEpNSNO8RGccd7R-FQHQw&utm_medium=api&utm_source=08a528aa&v=0750FE5FB024C1264EDF1492644FC3829E5B433B,2026-05-12T12:55:18.600088
adzuna_5706461130,"Product Data Analyst, Business Intelligence",Soucy,"Saint-Charles-de-Drummond, Drummond",BI Analyst,Not Specified,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/land/ad/5706461130?se=3FEpNSNO8RGccd7R-FQHQw&utm_medium=api&utm_source=08a528aa&v=AB9BAA0AA2ECA2EB10F8D19E64E1C0E229DF4CE5,2026-05-12T12:55:18.600088
adzuna_5703538140,Data Analyst,ADF Medical Services Inc.,"Coal Harbour, Vancouver",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5703538140?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5711187201,Data Analyst,ADF Medical Services Inc.,"Halifax, Halifax region",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,78777 - 98887,https://www.adzuna.ca/details/5711187201?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5710417254,Data Analyst,ADF Medical Services Inc.,"Westmount, Montréal",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,78777 - 98887,https://www.adzuna.ca/details/5710417254?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5710417256,Data Analyst,ADF Medical Services Inc.,"Calgary Tower, Calgary",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,78777 - 98887,https://www.adzuna.ca/details/5710417256?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5710417259,Data Analyst,ADF Medical Services Inc.,"Toronto Dominion Centre, City of Toronto",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,78777 - 98887,https://www.adzuna.ca/details/5710417259?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5710417257,Data Analyst,ADF Medical Services Inc.,"Portage and Main, Winnipeg",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,78777 - 98887,https://www.adzuna.ca/details/5710417257?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5719053107,Data Analyst,American Iron and Metal,"Laval, Laval region",Data Analyst,Not Specified,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5719053107?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5715365580,Data Analyst,Mercor,"Toronto, Ontario",Data Analyst,Remote,Adzuna,IT Jobs,contract,,None - None,https://www.adzuna.ca/details/5715365580?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5691595044,Data Analyst,COSMO,"Church and Wellesley, City of Toronto",Data Analyst,Not Specified,Adzuna,IT Jobs,Not Specified,,110000 - 140000,https://www.adzuna.ca/details/5691595044?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5711196627,Data Analyst,ADF Medical Services Inc.,"Toronto, Ontario",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5711196627?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5711196581,Data Analyst,ADF Medical Services Inc.,"Montréal, Québec",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5711196581?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5711196660,Data Analyst,ADF Medical Services Inc.,"Halifax region, Nova Scotia",Data Analyst,Remote,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5711196660?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5717281586,Data Analyst,Westland Insurance,"Surrey, Greater Vancouver",Data Analyst,Hybrid,Adzuna,IT Jobs,Not Specified,,62400 - 78000,https://www.adzuna.ca/details/5717281586?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5615854538,Data Analyst,LayerZero Labs,"Greater Vancouver, British Columbia",Data Analyst,Not Specified,Adzuna,IT Jobs,Not Specified,,None - None,https://www.adzuna.ca/details/5615854538?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
adzuna_5648925676,Data Analyst,emergiTEL,"Trinity, City of Toronto",Data Analyst,Hybrid,Adzuna,IT Jobs,contract,,None - None,https://www.adzuna.ca/details/5648925676?utm_medium=api&utm_source=08a528aa,2026-05-12T12:55:18.600088
